id 	 q 	 e 	 i 	 peri 	 node 	 TD 	 ep 
240	0.0051	1.000	147.14	89.53	2.00	20221021.73782	20120815.000
241	0.0047	1.000	145.39	70.56	338.06	20280413.29029	20120815.000
242	0.0047	1.000	138.52	79.65	29.56	20250708.95090	20120815.000
243	0.0047	1.000	145.77	81.41	342.21	20260623.03567	20120815.000
244	0.0053	1.000	144.45	71.85	0.69	20290624.10346	20120815.000
245	0.0073	1.000	144.60	88.33	27.35	20311206.01113	20120815.000
246	0.0047	1.000	142.51	80.77	353.00	20300411.54394	20120815.000
247	0.0054	1.000	143.89	43.34	358.26	20250830.14575	20120815.000
248	0.0059	1.000	145.01	88.49	33.86	20270417.57036	20120815.000
249	0.0053	1.000	142.74	86.99	3.62	20311029.28579	20120815.000
250	0.0051	1.000	143.13	81.68	1.81	20270110.95721	20120815.000
251	0.0071	1.000	138.25	98.37	338.89	20280829.96954	20120815.000
252	0.0053	1.000	148.99	86.88	0.87	20290804.03480	20120815.000
253	0.0050	1.000	146.97	76.73	357.88	20231025.72832	20120815.000
254	0.0052	1.000	137.94	53.74	13.00	20290924.61183	20120815.000
255	0.0054	1.000	146.57	87.83	19.26	20230306.04458	20120815.000
256	0.0051	1.000	137.14	66.05	355.27	20260615.96166	20120815.000
257	0.0051	1.000	142.31	72.78	4.46	20230630.43176	20120815.000
258	0.0051	1.000	143.93	93.98	6.89	20270504.61372	20120815.000
259	0.0052	1.000	135.06	86.47	342.85	20281107.22041	20120815.000
260	0.0086	1.000	131.78	86.73	352.54	20270331.35598	20120815.000
261	0.0047	1.000	139.38	86.07	347.49	20291019.03854	20120815.000
262	0.0047	1.000	144.28	76.04	357.20	20300420.01587	20120815.000
263	0.0055	1.000	142.18	85.08	16.92	20230930.50580	20120815.000
264	0.0065	1.000	145.89	77.54	10.77	20260211.86722	20120815.000
265	0.0065	1.000	147.51	67.55	350.10	20301206.78991	20120815.000
266	0.0071	1.000	145.21	83.86	354.04	20310530.07694	20120815.000
267	0.0056	1.000	142.57	81.34	18.57	20300723.71241	20120815.000
268	0.0052	1.000	137.52	53.53	352.41	20290121.00712	20120815.000
269	0.0046	1.000	145.17	67.81	345.94	20240412.75149	20120815.000
270	0.0073	1.000	144.93	82.26	18.78	20250126.18235	20120815.000
271	0.0045	1.000	143.53	82.26	5.19	20250118.77242	20120815.000
272	0.0056	1.000	149.12	70.80	13.87	20270817.71549	20120815.000
273	0.0064	1.000	145.34	82.50	350.71	20310426.58751	20120815.000
274	0.0051	1.000	138.11	77.85	12.51	20270921.14552	20120815.000
275	0.0079	1.000	144.85	82.16	335.68	20300418.95275	20120815.000
276	0.0054	1.000	142.56	85.53	5.00	20280514.85692	20120815.000
277	0.0048	1.000	133.38	81.03	0.19	20290707.84503	20120815.000
278	0.0053	1.000	144.42	89.34	356.52	20230415.46515	20120815.000
279	0.0061	1.000	139.61	64.35	344.17	20220417.60251	20120815.000
280	0.0078	1.000	144.76	84.12	16.81	20220706.12258	20120815.000
281	0.0052	1.000	143.67	84.78	359.18	20250405.35692	20120815.000
282	0.0055	1.000	142.76	84.98	0.10	20260910.53933	20120815.000
283	0.0049	1.000	139.77	91.25	359.54	20230302.31527	20120815.000
284	0.0054	1.000	146.75	90.73	6.79	20220425.47596	20120815.000
285	0.0050	1.000	144.22	69.29	331.32	20270427.48161	20120815.000
286	0.0045	1.000	143.34	32.31	18.49	20310910.44065	20120815.000
287	0.0046	1.000	139.92	98.12	347.16	20260306.29001	20120815.000
288	0.0051	1.000	143.09	84.16	8.09	20240816.36744	20120815.000
289	0.0047	1.000	142.56	89.11	0.30	20290527.75326	20120815.000
290	0.0053	1.000	145.72	88.70	343.78	20260404.72745	20120815.000
291	0.0066	1.000	137.08	72.09	358.42	20221126.75883	20120815.000
292	0.0077	1.000	145.69	88.35	353.65	20290730.63524	20120815.000
293	0.0053	1.000	144.56	77.79	341.45	20300802.91310	20120815.000
294	0.0051	1.000	143.15	81.90	349.36	20240913.59329	20120815.000
295	0.0054	1.000	146.58	61.35	0.69	20230727.95988	20120815.000
296	0.0054	1.000	142.47	61.25	7.25	20301226.66080	20120815.000
297	0.0069	1.000	141.10	77.11	4.83	20231129.15568	20120815.000
298	0.0052	1.000	145.24	74.87	2.57	20240208.35818	20120815.000
299	0.0068	1.000	143.58	85.81	1.69	20300524.56039	20120815.000
300	0.0061	1.000	144.04	70.15	342.01	20311209.09270	20120815.000
301	0.0041	1.000	142.29	88.99	5.25	20290925.93847	20120815.000
302	0.0079	1.000	141.67	85.42	8.65	20271218.14726	20120815.000
303	0.0054	1.000	147.09	79.47	16.19	20241209.53606	20120815.000
304	0.0051	1.000	141.32	96.27	26.61	20240224.84976	20120815.000
305	0.0073	1.000	142.96	71.01	353.75	20310623.93535	20120815.000
306	0.0053	1.000	138.34	76.27	9.13	20291003.83115	20120815.000
307	0.0057	1.000	145.88	86.91	7.13	20300626.34580	20120815.000
308	0.0055	1.000	139.97	85.47	342.50	20260608.75150	20120815.000
309	0.0045	1.000	144.77	78.10	13.28	20260125.73894	20120815.000
310	0.0045	1.000	143.20	76.87	19.06	20261111.26350	20120815.000
311	0.0050	1.000	145.84	70.90	2.86	20310304.67928	20120815.000
312	0.0041	1.000	147.45	81.32	359.81	20270519.26035	20120815.000
313	0.0054	1.000	145.24	80.40	339.87	20300426.44186	20120815.000
314	0.0068	1.000	144.63	72.59	356.28	20220622.61669	20120815.000
315	0.0049	1.000	145.04	88.01	356.46	20300831.92081	20120815.000
316	0.0080	1.000	144.98	72.01	9.76	20300608.99972	20120815.000
317	0.0053	1.000	144.45	44.01	327.34	20310408.71682	20120815.000
318	0.0060	1.000	144.79	97.25	13.63	20220901.11259	20120815.000
319	0.0048	1.000	145.71	84.54	3.86	20230908.15637	20120815.000
320	0.0063	1.000	142.02	98.76	17.73	20280915.39502	20120815.000
321	0.0053	1.000	143.83	79.98	19.35	20240823.81876	20120815.000
322	0.0057	1.000	145.17	79.08	6.60	20221017.07060	20120815.000
323	0.0057	1.000	138.33	52.11	4.55	20260827.63972	20120815.000
324	0.0046	1.000	143.79	82.01	351.01	20280906.96861	20120815.000
325	0.0050	1.000	145.62	87.19	9.32	20290918.40613	20120815.000
326	0.0051	1.000	143.76	81.47	357.72	20240106.95372	20120815.000
327	0.0051	1.000	144.03	89.72	332.16	20251217.03287	20120815.000
328	0.0055	1.000	139.06	97.14	343.32	20310627.66900	20120815.000
329	0.0073	1.000	132.62	81.57	335.94	20220816.20860	20120815.000
330	0.0051	1.000	145.96	85.90	8.72	20260611.21355	20120815.000
331	0.0079	1.000	144.62	88.06	2.24	20290313.29922	20120815.000
332	0.0055	1.000	142.15	87.39	1.25	20300112.57848	20120815.000
333	0.0071	1.000	142.73	83.86	15.82	20280307.60537	20120815.000
334	0.0050	1.000	145.04	83.76	347.53	20301001.79758	20120815.000
335	0.0047	1.000	147.62	49.84	7.80	20310706.27692	20120815.000
336	0.0055	1.000	140.49	80.08	8.12	20270102.28990	20120815.000
337	0.0071	1.000	144.63	65.72	4.34	20230615.74839	20120815.000
338	0.0047	1.000	145.05	75.20	1.56	20290430.24370	20120815.000
339	0.0052	1.000	144.94	81.62	352.19	20230805.31175	20120815.000
340	0.0077	1.000	144.21	60.43	352.86	20310708.57550	20120815.000
341	0.0051	1.000	142.32	74.69	350.15	20250722.10612	20120815.000
342	0.0044	1.000	144.65	79.52	9.23	20300414.00726	20120815.000
343	0.0047	1.000	142.67	85.38	355.96	20230219.82301	20120815.000
344	0.0053	1.000	143.47	84.21	4.69	20290503.25869	20120815.000
345	0.0046	1.000	144.56	67.15	357.08	20220508.48714	20120815.000
346	0.0054	1.000	145.61	82.24	8.46	20310427.42882	20120815.000
347	0.0051	1.000	143.96	60.05	4.43	20280420.69353	20120815.000
348	0.0045	1.000	143.29	66.37	3.13	20290124.30028	20120815.000
349	0.0067	1.000	143.61	86.92	12.53	20230912.75509	20120815.000
350	0.0050	1.000	143.48	47.81	4.39	20240111.29475	20120815.000
351	0.0066	1.000	143.24	81.17	353.58	20301115.37222	20120815.000
352	0.0052	1.000	145.09	85.18	351.30	20231009.29667	20120815.000
353	0.0046	1.000	137.19	83.10	1.35	20240612.97866	20120815.000
354	0.0054	1.000	144.85	82.62	357.02	20240902.47932	20120815.000
355	0.0075	1.000	145.41	72.82	21.35	20311019.20082	20120815.000
356	0.0055	1.000	144.68	82.58	3.70	20270503.66997	20120815.000
357	0.0054	1.000	147.05	91.09	6.47	20290504.09130	20120815.000
358	0.0057	1.000	146.80	85.12	335.50	20221018.50313	20120815.000
359	0.0052	1.000	144.35	85.62	302.97	20310610.19742	20120815.000
360	0.0054	1.000	147.44	86.30	7.30	20271017.78269	20120815.000
361	0.0048	1.000	144.07	95.66	18.32	20260606.31542	20120815.000
362	0.0083	1.000	144.44	97.71	326.30	20300127.53763	20120815.000
363	0.0045	1.000	146.03	84.79	1.84	20270502.25995	20120815.000
364	0.0051	1.000	146.57	74.90	342.27	20251113.79924	20120815.000
365	0.0046	1.000	145.79	87.55	16.88	20251202.44521	20120815.000
366	0.0055	1.000	145.70	98.18	2.14	20250629.82468	20120815.000
367	0.0051	1.000	147.86	46.48	12.68	20300327.48075	20120815.000
368	0.0050	1.000	147.31	73.25	349.94	20271215.51816	20120815.000
369	0.0062	1.000	144.83	87.52	7.44	20270720.27152	20120815.000
370	0.0050	1.000	145.25	86.46	2.56	20290708.03109	20120815.000
371	0.0055	1.000	145.48	80.89	310.82	20230919.66605	20120815.000
372	0.0049	1.000	143.19	95.19	328.25	20250128.33275	20120815.000
373	0.0052	1.000	145.89	92.80	340.58	20230929.17252	20120815.000
374	0.0054	1.000	141.47	80.53	2.65	20241217.69345	20120815.000
375	0.0053	1.000	142.93	89.11	19.21	20271203.23431	20120815.000
376	0.0063	1.000	141.88	59.19	326.58	20260914.82319	20120815.000
377	0.0052	1.000	141.77	85.25	352.71	20300212.01682	20120815.000
378	0.0055	1.000	133.44	52.66	356.60	20300628.32541	20120815.000
379	0.0050	1.000	144.93	83.31	13.22	20260429.36927	20120815.000
380	0.0052	1.000	146.60	85.76	350.73	20230607.91153	20120815.000
381	0.0058	1.000	143.39	83.25	15.62	20260607.62115	20120815.000
382	0.0050	1.000	140.82	85.26	8.18	20280516.50745	20120815.000
383	0.0052	1.000	144.51	87.92	8.57	20270625.14465	20120815.000
384	0.0079	1.000	144.34	89.23	9.09	20300925.10622	20120815.000
385	0.0054	1.000	143.10	45.92	335.71	20230107.54797	20120815.000
386	0.0050	1.000	142.25	53.28	0.34	20300430.88381	20120815.000
